id,customerId,subscriptionId,amountCents,payChannel,outTradeNo,epayTradeNo,status,notifyRaw,paidAt,referrerId,catalogVersion,selection,config,expiresAt,createdAt,updatedAt
cmqitefxm04uds1xc91oqwu73,cmqgpfd3f001is1usl4p3r1ks,cmqitefxw04ufs1xcgqecgo42,0,GRANT,gfa1781745724714043ba889d094,,PAID,,2026-06-18T01:22:04.714Z,,3,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":10774483},""weeklyBucketLimits"":{}}",2026-06-18T01:22:04.714Z,2026-06-18T01:22:04.715Z,2026-06-18T01:25:00.019Z
cmqit0p5b04los1xc9ddvcegm,cmqhg5xnv00b8s1p8gygz73tf,cmqit0p5j04lqs1xcnqtaw40h,0,GRANT,gfa178174508347152ef59d3a2c3,,PAID,,2026-06-18T01:11:23.471Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T01:11:23.471Z,2026-06-18T01:11:23.472Z,2026-06-18T01:15:00.010Z
cmqiryd9h03y9s1xcj2x8wk9v,cmqgpt7ko0008s1n0z61zbuf3,cmqiryd9q03ybs1xcw0uevbvo,0,GRANT,gfa17817432951408240bfa0f2d9,,PAID,,2026-06-18T00:41:35.140Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":18201581},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T00:41:35.140Z,2026-06-18T00:41:35.141Z,2026-06-18T00:45:00.025Z
cmqirnvhc03sas1xc5gu5rkw0,cmqgwcxbj00ens13k102cq18l,cmqirnvhm03scs1xcebs847gv,0,GRANT,gfa1781742805536543fa71b3f17,,PAID,,2026-06-18T00:33:25.535Z,,3,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":21548967},""weeklyBucketLimits"":{}}",2026-06-18T00:33:25.535Z,2026-06-18T00:33:25.537Z,2026-06-18T00:40:00.011Z
cmqirk69u03qas1xcfvkn1kfw,cmqgpgaca001os1us52zq2uy4,cmqirk6a803qcs1xcqqrvdvm1,0,GRANT,gfa17817426328971046d1db91a9,,PAID,,2026-06-18T00:30:32.896Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":18201581},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T00:30:32.896Z,2026-06-18T00:30:32.898Z,2026-06-18T00:35:00.038Z
cmqirdt8p03n9s1xc4hznf6zr,cmqhwvt7r0cxgs1k0pufqw6uw,cmqirdt8y03nbs1xckelpmayy,0,GRANT,gfa178174233607229fec416236d,,PAID,,2026-06-18T00:25:36.072Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":18201581},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T00:25:36.072Z,2026-06-18T00:25:36.074Z,2026-06-18T00:30:00.015Z
cmqiqxjj203i8s1xc0iow3b7v,cmqhklw5302j5s1k0gexotu90,cmqiqxjja03ias1xc7kv22dmv,0,GRANT,gfa17817415769896f3d4c97f829,,PAID,,2026-06-18T00:12:56.989Z,,3,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":10774483},""weeklyBucketLimits"":{}}",2026-06-18T00:12:56.989Z,2026-06-18T00:12:56.990Z,2026-06-18T00:15:00.033Z
cmqiqwdlx03hms1xc33sdsy3g,cmqhg2bui007gs1p8xxfyipsg,cmqiqwdm603hos1xckw2der80,0,GRANT,gfa1781741522660555015471fec,,PAID,,2026-06-18T00:12:02.659Z,,3,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":10774483},""weeklyBucketLimits"":{}}",2026-06-18T00:12:02.659Z,2026-06-18T00:12:02.661Z,2026-06-18T00:15:00.027Z
cmqiqvply03h6s1xce8107oeb,cmqgooih4000us1usif2937ws,cmqiqvpm603h8s1xcewhui79s,0,GRANT,gfa1781741491556fe66b55012db,,PAID,,2026-06-18T00:11:31.556Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":9100790},""weeklyBucketLimits"":{""anthropic-claude"":25048018}}",2026-06-18T00:11:31.556Z,2026-06-18T00:11:31.558Z,2026-06-18T00:15:00.021Z
cmqiqrkl003f0s1xczmlupa7c,cmqiqquuo03els1xcqcskfdjl,cmqiqrkl803f2s1xcn2dz0l7l,0,GRANT,gfa1781741298420683b79c956c4,,PAID,,2026-06-18T00:08:18.419Z,,3,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""anthropic"":10},""bucketLimits"":{""anthropic-claude"":18201581},""weeklyBucketLimits"":{""anthropic-claude"":50096036}}",2026-06-18T00:08:18.419Z,2026-06-18T00:08:18.420Z,2026-06-18T00:15:00.014Z
cmqipxaeb0324s1xcqszyuld4,cmqhzk69800nas1f0xbt1m2tt,cmqipxaek0326s1xc7f5tn0i2,0,GRANT,gfa1781739885538fea2c061e0d1,,PAID,,2026-06-17T23:44:45.538Z,,3,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":2,""shareCapacity"":8,""weight"":2,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":21548967},""weeklyBucketLimits"":{}}",2026-06-17T23:44:45.538Z,2026-06-17T23:44:45.539Z,2026-06-17T23:50:00.020Z
cmqiccfee004hs1jcaco4njnw,cmqhgaf2n00g4s1p8z2z577uu,cmqiccfeo004js1jcingdiu2h,0,GRANT,gfa1781717077236612c8e9f665f,,PAID,,2026-06-17T17:24:37.236Z,,1,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareSeats"":1,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""shareSeats"":1,""shareCapacity"":8,""weight"":1,""assignmentPolicy"":""preferred-dynamic"",""deviceLimit"":1,""windowMs"":18000000,""salesSeatCapacity"":{""codex"":10},""bucketLimits"":{""codex-gpt"":10774483},""weeklyBucketLimits"":{}}",2026-06-17T17:24:37.236Z,2026-06-17T17:24:37.238Z,2026-06-17T17:30:00.025Z
cmqib177r00wks1xg70751b1u,cmqhgaf2n00g4s1p8z2z577uu,cmqib178400wms1xgnlony4f7,0,GRANT,gfa17817148737818ad640005ccc,,PAID,,2026-06-17T16:47:53.780Z,,1,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareUsers"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""weight"":4,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T16:47:53.780Z,2026-06-17T16:47:53.800Z,2026-06-17T16:50:00.019Z
cmqhwk7k70cnls1k0a4xr6fmo,cmqhgaf2n00g4s1p8z2z577uu,cmqhwk7kj0cnns1k0s2a0rmtp,0,GRANT,gfa1781690566470f6a58b68d380,,PAID,,2026-06-17T10:02:46.470Z,,1,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareUsers"":4,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""weight"":2,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T10:02:46.470Z,2026-06-17T10:02:46.471Z,2026-06-17T10:05:00.025Z
cmqhsm09e09cxs1k0c5zy7ywx,cmqhhdf7n001ys1k0ja4q2fz7,cmqhsm09p09czs1k0l0dbco9t,0,GRANT,gfa17816839318572b607c124fc2,,PAID,,2026-06-17T08:12:11.857Z,,1,"{""line"":""bind"",""items"":[{""product"":""antigravity"",""level"":""ultra""}],""shareUsers"":2,""deviceLimit"":1}","{""line"":""bind"",""products"":[""antigravity""],""levels"":{""antigravity"":""ultra""},""weight"":4,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T08:12:11.857Z,2026-06-17T08:12:11.858Z,2026-06-17T08:15:00.023Z
cmqhkqqdu02lgs1k09rccgdxe,cmqhgsrzc012fs1p8g0w6k04w,cmqhkqqe402lis1k0hahzd15s,0,GRANT,gfa17816707154090aee1649fc82,,PAID,,2026-06-17T04:31:55.409Z,,1,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareUsers"":4,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""weight"":2,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T04:31:55.409Z,2026-06-17T04:31:55.410Z,2026-06-17T04:35:00.022Z
cmqhko7yl02kes1k0gg55ggdh,cmqhgsrzc012fs1p8g0w6k04w,cmqhko7yv02kgs1k0zfebujdv,0,GRANT,gfa17816705982204b2205b6c267,,PAID,,2026-06-17T04:29:58.220Z,,1,"{""line"":""bind"",""items"":[{""product"":""anthropic"",""level"":""max-20x""}],""shareUsers"":4,""deviceLimit"":1}","{""line"":""bind"",""products"":[""anthropic""],""levels"":{""anthropic"":""max-20x""},""weight"":2,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T04:29:58.220Z,2026-06-17T04:29:58.222Z,2026-06-17T04:35:00.016Z
cmqhjrp2s0255s1k0k2msi7b6,cmqhg3cnu008ts1p8qga6gwuo,cmqhjrp340257s1k0atzjte9y,0,GRANT,gfa178166908075562238f2aaaef,,PAID,,2026-06-17T04:04:40.755Z,,1,"{""line"":""bind"",""items"":[{""product"":""codex"",""level"":""pro""}],""shareUsers"":4,""deviceLimit"":1}","{""line"":""bind"",""products"":[""codex""],""levels"":{""codex"":""pro""},""weight"":2,""deviceLimit"":1,""windowMs"":18000000}",2026-06-17T04:04:40.755Z,2026-06-17T04:04:40.756Z,2026-06-17T04:10:00.025Z
